POLICY_NUMBER,START_DATE,SEGMENT_1_FLAG,SEGMENT_2_FLAG,SEGMENT_3_FLAG,SEGMENT_4_FLAG,SEGMENT_5_FLAG,SEGMENT_6_FLAG
6495779190.0,2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0
6495991436.0,2021-04-06,0.0,0.0,0.0,0.0,0.0,0.0
6495991519.0,2021-04-28,1.0,0.0,0.0,0.0,0.0,0.0
6495720271.0,2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0
6495970008.0,2021-03-08,0.0,0.0,0.0,0.0,1.0,1.0
6495795531.0,2020-05-25,0.0,0.0,0.0,0.0,1.0,0.0
6495808049.0,2020-06-30,0.0,0.0,0.0,0.0,0.0,0.0
6495591072.0,2019-07-13,1.0,0.0,0.0,0.0,0.0,0.0
6495688536.0,2019-10-21,0.0,0.0,0.0,0.0,0.0,0.0
6495699676.0,2019-11-07,0.0,0.0,0.0,0.0,0.0,1.0
6495698730.0,2019-11-22,1.0,0.0,0.0,0.0,0.0,0.0
6495597509.0,2020-07-26,0.0,0.0,0.0,0.0,0.0,0.0
6495967732.0,2021-03-06,1.0,0.0,0.0,0.0,0.0,1.0
6495866597.0,2020-08-28,0.0,0.0,0.0,0.0,1.0,0.0
6495497404.0,2020-04-02,0.0,0.0,0.0,0.0,0.0,0.0
6495969278.0,2021-03-09,1.0,0.0,0.0,0.0,0.0,0.0
6495650122.0,2020-09-08,0.0,0.0,0.0,0.0,0.0,0.0
6495465862.0,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
6495797329.0,2020-05-22,0.0,0.0,0.0,0.0,0.0,0.0
6495329759.0,2018-09-20,0.0,0.0,0.0,0.0,0.0,0.0
6495919032.0,2020-11-25,0.0,0.0,0.0,0.0,0.0,0.0
6495824793.0,2020-07-24,1.0,0.0,0.0,0.0,0.0,0.0
6495612791.0,2019-08-27,0.0,0.0,0.0,0.0,0.0,0.0
6495503792.0,2020-04-15,0.0,0.0,0.0,0.0,0.0,0.0
6495891899.0,2020-10-02,0.0,0.0,0.0,0.0,,1.0
6495429141.0,2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0
6495977708.0,2021-03-31,0.0,0.0,0.0,0.0,0.0,0.0
6495918398.0,2020-12-19,0.0,0.0,0.0,0.0,0.0,1.0
6495462339.0,2019-03-01,1.0,0.0,0.0,0.0,0.0,0.0
6495630939.0,2019-09-19,0.0,0.0,0.0,0.0,0.0,0.0
